round_num,venue,date,year,team_1_team_name,team_1_q1_goals,team_1_q1_behinds,team_1_q2_goals,team_1_q2_behinds,team_1_q3_goals,team_1_q3_behinds,team_1_final_goals,team_1_final_behinds,team_2_team_name,team_2_q1_goals,team_2_q1_behinds,team_2_q2_goals,team_2_q2_behinds,team_2_q3_goals,team_2_q3_behinds,team_2_final_goals,team_2_final_behinds
1,Brunswick St,1897-05-08 15:00,1897,Fitzroy,0.0,5.0,0.0,11.0,5.0,13.0,6.0,13.0,Carlton,0.0,3.0,1.0,3.0,2.0,3.0,2.0,4.0
1,Victoria Park,1897-05-08 15:00,1897,Collingwood,1.0,1.0,4.0,3.0,4.0,9.0,5.0,11.0,St Kilda,1.0,0.0,2.0,2.0,2.0,4.0,2.0,4.0
1,Corio Oval,1897-05-08 15:00,1897,Geelong,0.0,0.0,0.0,4.0,1.0,5.0,3.0,6.0,Essendon,3.0,2.0,3.0,4.0,6.0,4.0,7.0,5.0
1,Lake Oval,1897-05-08 15:00,1897,South Melbourne,0.0,2.0,1.0,4.0,3.0,6.0,3.0,9.0,Melbourne,3.0,2.0,4.0,3.0,5.0,4.0,6.0,8.0
2,Lake Oval,1897-05-15 15:00,1897,South Melbourne,2.0,3.0,2.0,3.0,6.0,4.0,6.0,4.0,Carlton,1.0,1.0,2.0,2.0,2.0,3.0,5.0,6.0
2,East Melbourne,1897-05-15 15:00,1897,Essendon,1.0,3.0,1.0,5.0,3.0,5.0,4.0,6.0,Collingwood,2.0,0.0,6.0,0.0,6.0,2.0,8.0,2.0
2,Junction Oval,1897-05-15 15:00,1897,St Kilda,1.0,1.0,2.0,4.0,2.0,4.0,3.0,8.0,Fitzroy,3.0,0.0,5.0,2.0,8.0,4.0,10.0,6.0
2,M.C.G.,1897-05-15 15:00,1897,Melbourne,3.0,2.0,5.0,4.0,9.0,7.0,9.0,10.0,Geelong,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0
3,Victoria Park,1897-05-22 15:00,1897,Collingwood,1.0,1.0,3.0,3.0,4.0,5.0,6.0,5.0,Geelong,2.0,3.0,2.0,5.0,3.0,7.0,5.0,7.0
3,Brunswick St,1897-05-22 15:00,1897,Fitzroy,1.0,0.0,1.0,4.0,3.0,8.0,5.0,9.0,Melbourne,1.0,3.0,3.0,5.0,7.0,6.0,7.0,8.0
3,East Melbourne,1897-05-24 15:00,1897,Essendon,5.0,2.0,8.0,2.0,11.0,5.0,12.0,6.0,Carlton,1.0,0.0,3.0,4.0,3.0,4.0,6.0,5.0
3,Lake Oval,1897-05-24 15:00,1897,South Melbourne,2.0,4.0,5.0,8.0,6.0,9.0,8.0,11.0,St Kilda,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0
4,Corio Oval,1897-05-29 15:00,1897,Geelong,1.0,2.0,4.0,7.0,5.0,9.0,5.0,14.0,Carlton,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0
4,Lake Oval,1897-05-29 15:00,1897,South Melbourne,1.0,3.0,3.0,7.0,5.0,11.0,5.0,11.0,Collingwood,1.0,1.0,3.0,1.0,4.0,1.0,5.0,3.0
4,Brunswick St,1897-05-29 15:00,1897,Fitzroy,0.0,1.0,1.0,2.0,1.0,3.0,2.0,8.0,Essendon,1.0,1.0,3.0,3.0,5.0,5.0,6.0,6.0
